인허가관할기관,업소명,업종,업소주소
인천광역시 미추홀구,#도쿄시장 주안점,일반음식점,인천광역시 미추홀구 주안로104번길 12(2층 주안동)
인천광역시 연수구,#예다예스트,일반음식점,인천광역시 연수구 함박로 9(지상1층 일부호 연수동)
인천광역시 서구,(A.V.O.C)에이브이오씨,일반음식점,인천광역시 서구 청라루비로134번길 11(1층 청라동)
인천광역시 남동구,(Aile)에르,일반음식점,인천광역시 남동구 논현로170번길 5-9(1층 논현동)
인천광역시 연수구,(仙味)선미한우샤브샤브,일반음식점,인천광역시 연수구 송도과학로16번길 33-3(송도 트리플스트리트 C동 지상2층 220a호 송도동)
인천광역시 부평구,(갓쌩푸드)부평닭강정,일반음식점,"인천광역시 부평구 경원대로 1362(부평동,지예타워 101호)"
인천광역시 옹진군,(구)명주가든 정육식당,일반음식점,인천광역시 옹진군 영흥면 영흥로176번길 57
인천광역시 남동구,(닭치고)춘천전통닭갈비,일반음식점,"인천광역시 남동구 문화서로4번길 61-24(구월동, 1층)"
인천광역시 서구,(신)청해수산,일반음식점,인천광역시 서구 원당대로 666(1층 당하동)
인천광역시 계양구,(야)래래,일반음식점,인천광역시 계양구 장기로 32(장기동)
인천광역시 부평구,(유)아웃백스테이크하우스코리아 부평점,일반음식점,인천광역시 부평구 광장로 4(2층 부평동)
인천광역시 연수구,(유)아웃백스테이크하우스코리아 송도점,일반음식점,"인천광역시 연수구 송도국제대로 157(오네스타 2층 A203,204호 송도동)"
인천광역시 미추홀구,(유)아웃백스테이크하우스코리아 인천롯데점,일반음식점,"인천광역시 미추홀구 연남로 35(인천종합터미널,롯데백화점 지하1층 관교동)"
인천광역시 계양구,(유)아웃백스테이크하우스코리아작전점,일반음식점,"인천광역시 계양구 계양대로 56(작전동,2층)"
인천광역시 동구,(주) 더드림 인천지점,일반음식점,인천광역시 동구 솔빛로 85(1층 일부호 송림동)
인천광역시 계양구,(주)24시경희궁,일반음식점,인천광역시 계양구 아나지로 138(1.2층 효성동)
인천광역시 서구,(주)가마꿉,일반음식점,인천광역시 서구 청마로167번안길 15(당하올제 1층 101호 당하동)
